"GEO_ID","NAME","B17001_001E","B17001_001M","B17001_002E","B17001_002M","B17001_003E","B17001_003M","B17001_004E","B17001_004M","B17001_005E","B17001_005M","B17001_006E","B17001_006M","B17001_007E","B17001_007M","B17001_008E","B17001_008M","B17001_009E","B17001_009M","B17001_010E","B17001_010M","B17001_011E","B17001_011M","B17001_012E","B17001_012M","B17001_013E","B17001_013M","B17001_014E","B17001_014M","B17001_015E","B17001_015M","B17001_016E","B17001_016M","B17001_017E","B17001_017M","B17001_018E","B17001_018M","B17001_019E","B17001_019M","B17001_020E","B17001_020M","B17001_021E","B17001_021M","B17001_022E","B17001_022M","B17001_023E","B17001_023M","B17001_024E","B17001_024M","B17001_025E","B17001_025M","B17001_026E","B17001_026M","B17001_027E","B17001_027M","B17001_028E","B17001_028M","B17001_029E","B17001_029M","B17001_030E","B17001_030M","B17001_031E","B17001_031M","B17001_032E","B17001_032M","B17001_033E","B17001_033M","B17001_034E","B17001_034M","B17001_035E","B17001_035M","B17001_036E","B17001_036M","B17001_037E","B17001_037M","B17001_038E","B17001_038M","B17001_039E","B17001_039M","B17001_040E","B17001_040M","B17001_041E","B17001_041M","B17001_042E","B17001_042M","B17001_043E","B17001_043M","B17001_044E","B17001_044M","B17001_045E","B17001_045M","B17001_046E","B17001_046M","B17001_047E","B17001_047M","B17001_048E","B17001_048M","B17001_049E","B17001_049M","B17001_050E","B17001_050M","B17001_051E","B17001_051M","B17001_052E","B17001_052M","B17001_053E","B17001_053M","B17001_054E","B17001_054M","B17001_055E","B17001_055M","B17001_056E","B17001_056M","B17001_057E","B17001_057M","B17001_058E","B17001_058M","B17001_059E","B17001_059M"
"0500000US06033","Lake County, California","63532","607","12019","3407","5363","1612","436","390","23","32","224","369","139","220","117","135","153","191","269","377","590","481","993","630","779","493","987","498","595","422","58","118","6656","2029","371","397","11","24","938","547","573","440","131","231","176","263","293","379","672","466","645","501","741","561","1053","492","955","713","97","105","51513","3425","25616","1996","1083","773","648","549","1791","989","971","658","259","246","462","382","1642","792","3676","1213","2543","786","2967","988","3560","590","3556","531","2458","216","25897","2198","1678","850","0","216","1860","591","597","437","161","229","434","357","1536","545","2649","753","3370","785","2578","697","4576","751","3979","632","2479","205"
"0500000US06037","Los Angeles County, California","9872009","5094","1321571","30749","598561","15886","52422","4149","8907","1718","68966","5884","38477","4003","10613","1634","19363","2598","68078","5411","71350","4575","69093","4603","54973","4110","63529","4078","41140","3239","31650","2844","723010","18779","50267","4693","8904","1778","63805","4449","35172","3422","12100","1712","18381","2198","78821","4933","102080","5236","94593","5157","69403","3973","73304","5098","54667","4013","61513","3973","8550438","30683","4262832","16443","238332","4476","41887","3306","292335","6171","155259","6675","50719","2730","101572","3349","370361","5743","754547","5081","616650","4852","593294","4074","517689","4294","323665","3421","206522","2988","4287606","18763","226515","4755","46517","3483","274571","6778","145670","5727","48554","3215","97120","3804","348025","5020","696860","5475","587811","5176","597496","3963","552216","5139","379239","4284","287012","4002"
"0500000US06039","Madera County, California","148449","1736","26093","5204","9780","2429","1309","768","0","216","1889","834","991","560","53","88","636","430","1267","484","574","374","1143","787","1253","583","193","190","327","238","145","148","16313","3449","2403","1096","894","708","1584","736","1003","618","553","529","369","330","1829","578","2365","1147","1683","703","1339","543","958","684","699","357","634","402","122356","5269","63440","2769","4430","664","310","215","5892","1243","2958","880","855","377","2147","469","5624","666","8879","674","8415","1150","6072","826","7577","465","6097","424","4184","387","58916","3482","3217","902","1289","660","5704","1226","1637","690","750","573","1810","604","5279","728","7250","1588","7565","800","6870","682","7288","577","6007","619","4250","485"
"0500000US06041","Marin County, California","253444","1780","16925","2904","6698","1748","432","388","65","115","464","370","51","98","140","174","228","307","1087","823","762","559","479","357","611","352","1369","526","540","334","470","305","10227","2022","663","460","386","438","924","731","301","278","70","121","95","182","1760","845","603","360","688","393","737","401","1513","583","1134","557","1353","554","236519","3162","116037","2073","4877","562","1288","704","8774","1120","3788","907","1836","808","3175","725","8163","1196","10453","1038","13253","497","17933","607","17425","818","14405","611","10667","553","120482","2002","5289","547","1680","791","5984","829","5571","1181","1583","649","3148","676","6372","741","8895","469","13713","404","19908","629","18456","644","17545","604","12338","641"
"0500000US06045","Mendocino County, California","85168","772","11279","2186","4873","1288","115","79","0","216","706","498","216","200","28","40","277","258","276","298","512","429","659","410","539","340","830","525","658","566","57","99","6406","1476","1345","797","25","32","302","332","43","46","54","54","51","54","425","319","734","424","927","468","573","340","483","280","863","440","581","439","73889","2461","36225","1734","2098","923","202","203","1585","721","2378","875","537","452","289","249","3390","639","3360","708","4141","793","5000","756","4766","673","5589","646","2890","147","37664","1439","1325","668","84","121","3177","1215","1551","901","303","294","1285","820","2302","692","3818","1040","4843","898","4161","334","5446","474","5678","594","3691","570"
"0500000US06047","Merced County, California","270830","1796","45396","8219","20899","4572","2007","1229","987","599","3925","1419","1616","763","1118","1009","608","448","3540","1603","1707","783","1650","582","1504","694","1050","528","791","418","396","347","24497","4214","2339","1030","633","441","1828","873","1792","764","326","277","781","388","3104","870","3880","1125","3656","1239","2053","784","2871","828","840","406","394","228","225434","8114","114774","4513","7951","1243","1520","767","9322","1419","5884","1326","2249","865","3163","906","9905","1707","19775","1251","15982","920","13034","949","12732","755","8467","598","4790","533","110660","4240","8257","1065","1623","847","10351","1755","5420","1246","1446","700","4099","868","10112","1104","15040","1423","14381","1268","12923","916","11394","738","8747","596","6867","402"
"0500000US06053","Monterey County, California","416906","1797","52838","7068","23672","3612","3163","1299","439","362","3677","1369","1785","651","266","252","1036","600","2594","844","2832","1001","2079","775","1511","796","2406","774","1186","552","698","377","29166","4520","3179","1233","405","519","3427","1106","2009","945","582","414","1842","755","3301","1269","3434","951","3871","1116","2248","880","1504","615","1551","662","1813","723","364068","7367","182973","4185","11999","1438","1959","845","15137","1605","8870","1689","2553","657","5061","832","15879","1183","27370","1149","26820","1044","22320","938","19734","976","15899","583","9372","491","181095","4575","11299","1364","2256","894","15140","1762","8108","1390","2286","655","4792","1129","15603","1289","24895","945","22798","1147","21829","986","23066","604","16816","703","12207","730"
"0500000US06055","Napa County, California","134438","935","9088","2499","3571","1149","45","80","182","287","88","102","210","234","0","216","289","218","196","212","582","389","391","384","192","235","539","327","447","317","410","382","5517","1621","248","285","0","216","295","248","308","263","146","178","99","148","491","308","189","199","638","390","627","394","995","495","893","631","588","352","125350","2813","62844","1514","3385","436","603","296","4293","828","2406","782","681","303","1722","322","5086","368","8222","578","8061","521","8357","393","8890","696","6987","413","4151","432","62506","1702","2682","269","661","400","3452","676","3096","718","863","338","1464","362","5294","548","7941","451","7702","574","8129","457","8393","570","7418","717","5411","409"
"0500000US06057","Nevada County, California","98775","520","8344","3002","3525","1434","104","130","0","216","352","488","0","216","0","216","0","216","300","273","369","392","728","566","474","313","830","438","221","197","147","151","4819","1894","410","326","0","216","607","402","830","696","0","216","93","125","317","439","472","369","219","213","866","554","340","253","434","387","231","196","90431","3001","44291","1649","2563","798","471","359","2388","555","1004","467","551","522","577","412","2577","964","4654","792","5355","1006","4644","463","7101","660","7761","264","4645","362","46140","1922","2008","615","223","207","2113","871","752","419","1034","462","655","383","2674","712","4579","739","5475","579","4479","721","8288","458","8567","578","5293","405"
"0500000US06059","Orange County, California","3138405","3762","296159","17105","139176","8621","11795","2388","2148","896","14706","2687","9056","1940","2697","819","4723","1201","23433","3944","18114","2326","13954","2192","11813","1924","13523","2295","7275","1504","5939","1185","156983","10524","9411","2048","1474","717","14861","2488","8477","1998","2275","768","3377","746","20730","3357","18384","2261","20475","2435","14586","2355","14644","2122","12209","1710","16080","2321","2842246","17245","1409772","8659","82105","2473","13241","1872","98931","3648","54916","3502","17949","2006","36447","2354","115136","4264","214250","2632","188422","2395","201798","1980","186023","2399","118987","1510","81567","1356","1432474","11028","79008","2077","17014","2231","92499","4221","50102","3334","16114","1659","36858","1908","112224","3491","204067","2304","185817","2582","208425","2558","193743","2155","134048","1751","102555","2377"
