"GEO_ID","NAME","B15003_001E","B15003_001M","B15003_002E","B15003_002M","B15003_003E","B15003_003M","B15003_004E","B15003_004M","B15003_005E","B15003_005M","B15003_006E","B15003_006M","B15003_007E","B15003_007M","B15003_008E","B15003_008M","B15003_009E","B15003_009M","B15003_010E","B15003_010M","B15003_011E","B15003_011M","B15003_012E","B15003_012M","B15003_013E","B15003_013M","B15003_014E","B15003_014M","B15003_015E","B15003_015M","B15003_016E","B15003_016M","B15003_017E","B15003_017M","B15003_018E","B15003_018M","B15003_019E","B15003_019M","B15003_020E","B15003_020M","B15003_021E","B15003_021M","B15003_022E","B15003_022M","B15003_023E","B15003_023M","B15003_024E","B15003_024M","B15003_025E","B15003_025M"
"id","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!No schooling completed","Margin of Error!!Total:!!No schooling completed","Estimate!!Total:!!Nursery school","Margin of Error!!Total:!!Nursery school","Estimate!!Total:!!Kindergarten","Margin of Error!!Total:!!Kindergarten","Estimate!!Total:!!1st grade","Margin of Error!!Total:!!1st grade","Estimate!!Total:!!2nd grade","Margin of Error!!Total:!!2nd grade","Estimate!!Total:!!3rd grade","Margin of Error!!Total:!!3rd grade","Estimate!!Total:!!4th grade","Margin of Error!!Total:!!4th grade","Estimate!!Total:!!5th grade","Margin of Error!!Total:!!5th grade","Estimate!!Total:!!6th grade","Margin of Error!!Total:!!6th grade","Estimate!!Total:!!7th grade","Margin of Error!!Total:!!7th grade","Estimate!!Total:!!8th grade","Margin of Error!!Total:!!8th grade","Estimate!!Total:!!9th grade","Margin of Error!!Total:!!9th grade","Estimate!!Total:!!10th grade","Margin of Error!!Total:!!10th grade","Estimate!!Total:!!11th grade","Margin of Error!!Total:!!11th grade","Estimate!!Total:!!12th grade, no diploma","Margin of Error!!Total:!!12th grade, no diploma","Estimate!!Total:!!Regular high school diploma","Margin of Error!!Total:!!Regular high school diploma","Estimate!!Total:!!GED or alternative credential","Margin of Error!!Total:!!GED or alternative credential","Estimate!!Total:!!Some college, less than 1 year","Margin of Error!!Total:!!Some college, less than 1 year","Estimate!!Total:!!Some college, 1 or more years, no degree","Margin of Error!!Total:!!Some college, 1 or more years, no degree","Estimate!!Total:!!Associate's degree","Margin of Error!!Total:!!Associate's degree","Estimate!!Total:!!Bachelor's degree","Margin of Error!!Total:!!Bachelor's degree","Estimate!!Total:!!Master's degree","Margin of Error!!Total:!!Master's degree","Estimate!!Total:!!Professional school degree","Margin of Error!!Total:!!Professional school degree","Estimate!!Total:!!Doctorate degree","Margin of Error!!Total:!!Doctorate degree"
"0500000US06041","Marin County, California","188509","1348","3171","1051","0","216","0","216","0","216","0","216","1475","908","0","216","568","581","2106","953","365","368","733","555","2189","1215","908","638","1153","624","1408","587","17758","2371","3264","1116","7147","1327","22561","2909","11194","1705","68445","3757","27155","2479","11302","1851","5607","1032"
"0500000US06045","Mendocino County, California","61561","751","792","436","0","216","0","216","115","204","716","720","16","23","425","557","33","57","1842","1008","193","259","291","258","465","327","1897","852","2201","683","1111","509","12061","2067","1727","753","5012","1202","12671","1882","5647","1486","8963","1496","3876","848","1309","542","198","180"
"0500000US06047","Merced County, California","167460","906","7611","1779","53","90","0","216","486","361","497","355","3025","1182","1229","705","1431","619","12700","2204","1736","852","3267","1011","6189","1564","3475","1174","3871","1110","6245","1509","34847","3057","5862","1709","10801","1751","27646","3541","12313","2147","17021","2786","4810","1331","1394","738","951","439"
"0500000US06053","Monterey County, California","277924","859","9846","2137","0","216","160","276","238","231","2333","854","4031","998","2739","1028","2018","828","26849","3523","1508","634","4823","1420","10459","1919","3270","760","2992","808","6219","1495","48061","4181","8956","1720","13824","1715","34267","2952","23898","2476","41618","2861","20062","2442","5388","1098","4365","953"
"0500000US06055","Napa County, California","97666","814","2816","1055","59","91","80","137","394","423","98","174","437","447","328","374","732","558","2559","1141","188","226","141","129","1834","798","941","485","852","410","2721","723","15522","2330","2439","613","8514","1534","13544","1552","8147","1413","21590","1757","8046","1106","4000","933","1684","534"
"0500000US06057","Nevada County, California","77008","1031","200","200","0","216","0","216","0","216","0","216","100","165","0","216","0","216","342","392","80","109","565","487","200","293","774","668","178","185","1189","788","15353","2393","1708","816","5756","1221","14714","2290","8265","1822","17364","2193","7523","1509","1860","834","837","425"
"0500000US06059","Orange County, California","2200478","603","59789","4501","666","354","1459","639","2161","1022","5119","1455","8135","1727","6225","1491","6805","1618","48089","5060","6409","1393","15275","2413","36839","4500","20783","2563","26308","3054","61392","4412","353591","11882","37425","3620","120057","5525","311641","8599","169466","7393","568673","11917","226524","7644","68376","4810","39271","3286"
"0500000US06061","Placer County, California","281521","739","3342","1494","80","132","61","102","0","216","63","104","128","135","473","503","130","176","512","318","476","448","1726","1016","508","408","1648","821","2778","987","4628","1194","44775","3504","5882","1243","20423","2303","44785","3393","31085","3306","78201","4424","27028","2555","9538","1673","3251","745"
"0500000US06065","Riverside County, California","1620917","802","44553","4916","473","409","582","417","1411","765","5189","1560","7812","1853","6644","2396","8013","2294","39807","5070","6631","1725","18354","3182","26221","3418","24095","3632","28943","3257","54986","5518","379387","11399","46243","3820","116791","6149","289632","10516","133859","7137","243719","9176","98362","5225","23421","2645","15789","2333"
"0500000US06067","Sacramento County, California","1058536","751","25358","2964","50","82","285","321","469","498","1007","728","3255","1087","1148","745","2313","1000","8908","2222","3355","1107","8496","2137","9844","2501","13574","2437","14838","2060","24346","2447","215115","8773","31504","3190","78898","3756","182515","8019","102669","5020","220172","6705","76182","4939","23879","2533","10356","1714"
