"GEO_ID","id"
"NAME","Geographic Area Name"
"B25104_001E","Estimate!!Total:"
"B25104_001M","Margin of Error!!Total:"
"B25104_002E","Estimate!!Total:!!Less than $100"
"B25104_002M","Margin of Error!!Total:!!Less than $100"
"B25104_003E","Estimate!!Total:!!$100 to $199"
"B25104_003M","Margin of Error!!Total:!!$100 to $199"
"B25104_004E","Estimate!!Total:!!$200 to $299"
"B25104_004M","Margin of Error!!Total:!!$200 to $299"
"B25104_005E","Estimate!!Total:!!$300 to $399"
"B25104_005M","Margin of Error!!Total:!!$300 to $399"
"B25104_006E","Estimate!!Total:!!$400 to $499"
"B25104_006M","Margin of Error!!Total:!!$400 to $499"
"B25104_007E","Estimate!!Total:!!$500 to $599"
"B25104_007M","Margin of Error!!Total:!!$500 to $599"
"B25104_008E","Estimate!!Total:!!$600 to $699"
"B25104_008M","Margin of Error!!Total:!!$600 to $699"
"B25104_009E","Estimate!!Total:!!$700 to $799"
"B25104_009M","Margin of Error!!Total:!!$700 to $799"
"B25104_010E","Estimate!!Total:!!$800 to $899"
"B25104_010M","Margin of Error!!Total:!!$800 to $899"
"B25104_011E","Estimate!!Total:!!$900 to $999"
"B25104_011M","Margin of Error!!Total:!!$900 to $999"
"B25104_012E","Estimate!!Total:!!$1,000 to $1,499"
"B25104_012M","Margin of Error!!Total:!!$1,000 to $1,499"
"B25104_013E","Estimate!!Total:!!$1,500 to $1,999"
"B25104_013M","Margin of Error!!Total:!!$1,500 to $1,999"
"B25104_014E","Estimate!!Total:!!$2,000 to $2,499"
"B25104_014M","Margin of Error!!Total:!!$2,000 to $2,499"
"B25104_015E","Estimate!!Total:!!$2,500 to $2,999"
"B25104_015M","Margin of Error!!Total:!!$2,500 to $2,999"
"B25104_016E","Estimate!!Total:!!$3,000 or more"
"B25104_016M","Margin of Error!!Total:!!$3,000 or more"
"B25104_017E","Estimate!!Total:!!No cash rent"
"B25104_017M","Margin of Error!!Total:!!No cash rent"
